household,article_aligned,pv_mode,event_mode,grid,qe,qp,label,E_kWh,P_kW,g_pp,rho_pct,rho_pv_pct,dispatch_violation,is_pareto,is_frozen
id03,True,native,event_window,3x3,0.9,0.75,E90-P75,8.639,1.513,1.16893830299,1.61480729928,0.445868996289,0,False,False
id03,True,native,event_window,3x3,0.9,0.9,E90-P90,8.639,3.947,1.19982760269,1.64569659898,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.25,0.25,E25-P25,0,0,0,0.445868996289,0.445868996289,0,False,True
id03,True,native,event_window,5x5,0.25,0.5,E25-P50,0,0.646,0,0.445868996289,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.25,0.75,E25-P75,0,1.513,0,0.445868996289,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.25,0.9,E25-P90,0,3.947,0,0.445868996289,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.25,0.95,E25-P95,0,4.656,0,0.445868996289,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.5,0.25,E50-P25,1.408,0,0,0.445868996289,0.445868996289,0,False,True
id03,True,native,event_window,5x5,0.5,0.5,E50-P50,1.408,0.646,0.855962318304,1.30183131459,0.445868996289,0,True,False
id03,True,native,event_window,5x5,0.5,0.75,E50-P75,1.408,1.513,1.05616828579,1.50203728208,0.445868996289,5.55111512313e-17,True,True
id03,True,native,event_window,5x5,0.5,0.9,E50-P90,1.408,3.947,1.08705758549,1.53292658178,0.445868996289,0,True,False
id03,True,native,event_window,5x5,0.5,0.95,E50-P95,1.408,4.656,1.08705758549,1.53292658178,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.75,0.25,E75-P25,4.622,0,0,0.445868996289,0.445868996289,0,False,True
id03,True,native,event_window,5x5,0.75,0.5,E75-P50,4.622,0.646,0.892336059854,1.33820505614,0.445868996289,0,True,False
id03,True,native,event_window,5x5,0.75,0.75,E75-P75,4.622,1.513,1.16893830299,1.61480729928,0.445868996289,0,True,False
id03,True,native,event_window,5x5,0.75,0.9,E75-P90,4.622,3.947,1.19982760269,1.64569659898,0.445868996289,0,True,False
id03,True,native,event_window,5x5,0.75,0.95,E75-P95,4.622,4.656,1.19982760269,1.64569659898,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.9,0.25,E90-P25,8.639,0,0,0.445868996289,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.9,0.5,E90-P50,8.639,0.646,0.892336059854,1.33820505614,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.9,0.75,E90-P75,8.639,1.513,1.16893830299,1.61480729928,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.9,0.9,E90-P90,8.639,3.947,1.19982760269,1.64569659898,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.9,0.95,E90-P95,8.639,4.656,1.19982760269,1.64569659898,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.95,0.25,E95-P25,9.79,0,0,0.445868996289,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.95,0.5,E95-P50,9.79,0.646,0.892336059854,1.33820505614,0.445868996289,0,False,False
id03,True,native,event_window,5x5,0.95,0.75,E95-P75,9.79,1.513,1.16893830299,1.61480729928,0.445868996289,0,False,False
