household,article_aligned,pv_mode,raw_charging_events,generic_valid_events,article_aligned_events,nonpositive_or_missing_energy,energy_gt_64_kwh,active_power_gt_7p4_kw,max_energy_kwh,max_active_avg_kw,max_reconstruction_residual_kwh,pv_rows,pv_missing_raw,pv_negative_raw,pv_above_1p05_kwh_raw,pv_min_raw_kwh,pv_max_raw_kwh,pv_missing_after_article_alignment,active_days,cal_days,hold_days,admitted_energy_kwh,event_mode,pv_scale,grid,axis,quantile,value,unit
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,E,0.75,5.071,kWh
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,E,0.9,7.055,kWh
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,E,0.95,8.15,kWh
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,P,0.25,0,kW
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,P,0.5,0.952,kW
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,P,0.75,2.264,kW
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,P,0.9,4.238,kW
id02,True,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,256,179,77,7968.785,event_window,1,5x5,P,0.95,4.753,kW
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,E,0.5,1.408,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,E,0.75,4.622,kWh
id03,True,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,133,93,40,2567.928,event_window,1,3x3,E,0.9,8.639,kWh
